STOK_KODU;CARISTOK_KODU;Parça No;Parça No1;Parça No2;Buffer;Depo;Pasif
34189-100;34060PH003_U-0;;;019597;;;5
34191-100;4140CP2010-0;1240CP2001-U-3;;S26/040-293;Kalacak;;
69019-100;A5E36396988-0;;;7503271/G;Kalacak;;
69019-200;70000004022458-0;;;7503271/G;;;
34185-100;25180PSB01_AN15-3;;;017135;;;
00416-100;91780932-0;;;91780932-C;Kalacak;;
00738-100;L225045LX2-0;;;L225045;Kalacak;;
34183-100;25160PNC01_U-3;;;017126;;;
00412-200;48151441-0;;;48151441;Kalacak;;
34175-100;4340P58010-0;;;131884;;;5
34178-100;25020PSB01_AN15-3;;;017150;;;
34604-100;4330PAN010-0;;;015523-02;;2;
34605-100;4330PBN010-0;;;015535-01;;2;
34174-100;4340P4EN10-0;;;S53/040-EN1;;;5
34601-100;4330PAS910-0;;;017350-01;;2;
40503-200;2044401-0;;;2027731;;2;
40042-200;082A-WI-0;;;;;2;
34181-100;25160PNA01_U-3;;;017119;;;
00540-200;84071388-0;;;84439587 C;Kalacak;;
00438-200;87585077-0;87585077-3;;;Kalacak;;
34173-100;25400P0020-0;25400P0020_U-3;;S53/040-814;;;5
34574-100;4Z01P0A010-0;;;018600;Kalacak;;
69010-200;7000647346-0;;;368788/D/001;Kalacak;;
34171-100;25400P0801-0;S53/040-1379;;S53/040-1379;;;5
34548-100;4G30P0A010-0;;;017929;Kalacak;;
01255-100;352218-0;;;394.090-02.001.10-01 | 02;Kalacak;;
00604-200;0412 2877-2;;;;;;
53004-100;0221 229.0-0;;;0221 229.0;;2;
01243-100;351385-0;;;404.101-13.002.10-01 I 04;Kalacak;;
34186-100;25180PSC01_U-3;;;017137;;;
00536-200;92297708-0;;;92297708-A;Kalacak;;
40821-100;45726-0;;;1014-886;;2;
34172-100;4340P49010-0;25400P0901_U-3;S53/040-1421;S53/040-1421;;;5
34558-200;1920000301_BSP-g-0;;;018713-05;Kalacak;;
34179-100;25020PSC01_AN30-3;;;017151;;;
01041-100;1704 307.1-0;;;221414.1;Kalacak;;
34184-100;25180PSA01_U-3;;;017130;;;
00414-100;51453008-0;;;48172040A;;2;
34163-200;2940000001-0;;;RAM/040-20;Kalacak;;
34182-100;25160PNB01_U-3;;;017125;;;
00545-200;84385409-0;;;;Kalacak;;
34187-100;25240PSA01_U-3;;;017164;;;
00642-100;51605620-0;;;51605620;Kalacak;;
34180-100;25020PSA01_U-3;;;017148;;;
01100-100;0191 066.5-0;;;0191 066.5;;2;
40327-200;2123041-0;;;2123041-02;Kalacak;;
34335-100;4R40P48010-0;;;009943;Kalacak;;
34123-100;25300P0315-0;25300P0315-U-3;;S56/030-267;;2;
01014-100;07760931-0;;;207999.0;Kalacak;;
20313-200;0429 7356-0;0429 8197-3;;0429 7356;Kalacak;;
69004-200;70000004041573-0;;;7507193/B/001;Kalacak;;
69005-200;70000004041576-0;;;7507196/C/001;Kalacak;;
40753-200;15830-0;;;1001-687-B;Kalacak;;
00805-200;388983-0;388983-3;;AG407831/388982;Kalacak;;
34380-100;4T15P40010-0;24154P0301_BSP-3;;005415-4T15P40010-04;Kalacak;;
36117-200;0101010459-0;;;0101010459;Kalacak;;
37186-200;37186-200;;;;;;5
40792-200;41709-0;;;1011-512-A;;;5
40818-100;45310-0;;;1014-582;;2;
34113-200;2930000001-0;;;RAM/030-5;Kalacak;;
34592-200;4R30000010-0;;;022729-01/4R30000010;Kalacak;;
36123-200;0101150180-0;;;0101150180;Kalacak;;
00723-100;L211240LX2-0;;;L211240;Kalacak;;
01027-200;210636.3-0;;;210636.3;Kalacak;;
71531-200;70000004041794-0;;;7507359_B/4041794.00;Kalacak;;
36086-100;0103150080-0;;;0103150080;Kalacak;;
36001-100;0103070535-0;;;0103070535;;2;
00660-200;R329574LX2-0;;;R329574;;;5
36099-100;0103150087-0;;;0103150087;Kalacak;;
01035-200;221324.1-0;;;221324.1;Kalacak;;
00411-200;51599862-0;;;51599862 B;Kalacak;;
00410-200;51599856-0;;;51599856 B;Kalacak;;
30103-100;700611772-0;;;43.04.10 K;;;5
00541-200;84579304-0;84579307-3;;8457934;Kalacak;;
00423-200;47124320-0;47124320-3;;47124320.9;Kalacak;;
57004-200;0.032.8589.0-0;;;0.032.8589.0;Kalacak;;
34400-100;85800P0102_U-0;;;009001;;2;
34549-100;82300P0202_U-0;;;017940;Kalacak;;
36073-100;0103010061-0;;;0103010061;Kalacak;;
34419-100;26443PDC01_VIC-BSP-0;;;015294;;;5
37304-200;117393-0;;;117393-G;Kalacak;;
00815-100;12928-0;147175-3;;12928;Kalacak;;
40015-200;2036987-0;;;;;;
01089-100;191733.1-0;;;191733.1;;2;
36012-100;0103070532-0;;;0103070532;Kalacak;;
36000-100;0103070529-0;;;0103070529;Kalacak;;
40724-200;23343-0; ;;1006-079-B;Kalacak;;
40785-200;28901-0;;;1009-539;;2;
00447-100;47698528.B-0;;;87656922;Kalacak;;
34522-100;85800P0202_U-0;;;4Z80P02020;Kalacak;;
44010-100;350-2306-0;;;350-2306-a;Kalacak;;
36100-100;0103150460-0;;;0103150460;Kalacak;;
30669-100;88341155-0;;;5-105-90-080-8-800;Kalacak;;
36060-100;0103020108-0;;;0103020108;Kalacak;;
36070-100;0103020135-0;;;0103020135;Kalacak;;
34407-100;4T30VPV801-0;;;012821;;;5
70009-200;70000004022456-0;4022523-3;;7503269/H/001;Kalacak;;
70017-200;70000004022453-1;;;7503266/G/001;Kalacak;;
30677-100;88341158-0;;;5-105-90-150-8-800;Kalacak;;
30672-100;88341156-0;;;5-105-90-100-8-800;;2;
30675-100;88341157-0;;;5-105-90-125-8-800;;2;
34597-100;4R80P48010-0;;;016886-5;Kalacak;;
40074-200;2118332-0;;;2118332-03;Kalacak;;
36124-200;0101150181-0;;;0101150181;Kalacak;;
48078-200;48078-200;;;;Kalacak;;
00558-100;948129-0;;948129;948129/73259;Kalacak;;
00887-100;ACW 218127 B-0;;;ACW218127A/1.8;Kalacak;;
01051-200;221432.0-0;;;221432.0;Kalacak;;
01003-100;2623009.0-0;;;2623009.0;Kalacak;;
34388-100;4380PAS010-0;;;008865;Kalacak;;
34389-100;4380PBS010-0;;;008882;Kalacak;;
34390-100;4380PCS010-0;;;008879;;;5
36110-200;0101010540-0;;;0101010540;;2;
36111-200;0101040265-0;;;0101040265;Kalacak;;
34351-100;4T80P49510-0;24804P6901_U-3;;TORRENT/080-YF1;Kalacak;;
34397-100;4Z80P0A010-0;;;009212;Kalacak;;
34398-100;85800P0BN1_U-0;;;009226;;2;
34399-100;85800P9CN1_U-0;;;4Z80P0C010;;2;
00765-200;L232329-0;;;L232329_A;Kalacak;;
34600-100;4R15P00010-0;;;024577-4;Kalacak;;
36056-100;0103150352-0;;;0103150352M2;Kalacak;;
36054-100;0103150504-0;;;0103150504M1;Kalacak;;
36052-200;0101150327-0;;;0101150327M1;Kalacak;;
36055-100;0103150506-0;;;0103150506M1;Kalacak;;
43000-200;F400663-940-0;;;F 4006 63-940;Kalacak;;
40522-200;6008345-0;;;1000508016.AA  ;Kalacak;;
37310-200;96010489-0;;;96010489;Kalacak;;
34489-100;4Z60P0B010-0;85600P0BN1_U-3;;4Z60P0B010;Kalacak;;
34501-100;4Z60P0A010-0;85600P0AN1_U-3;;005269;Kalacak;;
34408-100;80300P0AN1_U-0;;;012882;Kalacak;;
34409-100;80300P0BN1_U-0;;;012888;;;5
34410-100;80300P0CN1_U-0;;;012893;;2;
43020-200;F400665-940-0;;;F400665-940;Kalacak;;
40524-200;6090162-0;;;1000513541.AA;Kalacak;;
01232-100;318184-0;;;394.076-05.021.10-01 | 00;Kalacak;;
36071-100;0103020137-0;;;0103020137;Kalacak;;
45032-100;P.009-121R-0;;;P.009-121.0;Kalacak;;
36092-100;0103020136-0;;;0103020136;Kalacak;;
36066-100;0103150483-0;;;0103150483;Kalacak;;
36090-100;0103020110-0;;;0103020110;Kalacak;;
36063-100;0103010083-0;;;0103010083;Kalacak;;
36095-100;0103150237-0;;;0103150237;Kalacak;;
00690-200;L220263LX2-0;;;L 220263;;;5
30407-100;700611885-0;700611885-3;;43.05.17 E;Kalacak;;
40828-200;4400554-0;;;1016-236-B;;2;
36094-100;0103150532-0;;;0103150532;Kalacak;;
34579-200;4B60002810-0;;;019838-02/4B60002810 ;;2;
01235-100;336114-0;;;394.086-02.002.10-01 | 00;Kalacak;;
00693-100;H213513_E-0;;;H213513_E;Kalacak;;
36121-100;0103040187-0;;;0103040187;Kalacak;;
01004-100;2623018.0-0;;;2623018.0;Kalacak;;
00617-100;ACW3366510-0;;;ACW3072790(EX:644470);;2;
41073-200;52733-0;;;1019-538-C;;2;
01233-100;317130-0;;;394.076-03.021.10-01 | 01;Kalacak;;
01088-100;208457.0-0;;;208457.0;;2;
20355-200;0461 3811-0;;;04613811/0165-52;Kalacak;;
36009-100;0103070539-0;;;0103070539;Kalacak;;
01230-100;329222-0;;;394.086-01.001.55-11| 00;Kalacak;;
36088-100;0103150459-0;;;0103150459;Kalacak;;
01231-100;329505-0;;;394.086-05.001.10-01 | 02;Kalacak;;
36125-200;0101150182-0;;;0101150182;Kalacak;;
01227-100;323641-0;;;394.084-05.002.10-01/02;Kalacak;;
00672-200;L222289LX2-0;;;L222289LX2-rev.B;Kalacak;;
00661-200;R327334LX2-0;;;R542382;;;5
00737-200;L224440-0;;;L224440_A;;2;
40528-200;6091394-0;;;1000520707.AA;Kalacak;;
30460-100;700611690-0;;;43.03.22 A2-rev. C;Kalacak;;
30459-100;700611774 -0;;;43.04.22 A2;;2;
30166-100;2079070310-0;2079070310-3;;998645;;;5
30167-100;0026210270-0;990160/002621;;0026210270;;;
30172-100;2079220310-0;2079220310-3;;998611;;;5
30173-100;0026230271-0; ;;990170;;;5
30198-100;2034440291-0;2034440291/990985;2034440291/990985;990985;;;5
30207-100;3131410271-0;;;990960;;;5
30208-100;3131490271-0;990965/313149;;990965;;;5
30211-100;2077840271-0; ;;990980;;;5
30216-100;3131460271-0;;;990955;;;5
30224-100;3131430271-0;3131430271-3;;990970;;;
30231-100;3103680270-0; ;991350;991350;;;5
30237-100;9913700270-0;;;991370;;;5
30238-100;1060510271-0;1060510271-3;;990240;;;5
30242-100;4140960270-0;;;991275;;;5
30245-100;3131990292-0;3131990292-3;;991335;;;5
30250-100;4141100270-0;4141100270-3;;991280;;;5
30251-100;3131420270-0; ;;991285;;;
30252-100;2078140271-0;;;995395;;;5
30270-100;3061530050-0;;;991295;;;5
30273-100;3131520292-0;995390/313152;995390/313152;995390;;;
30290-100;4140790270-0;4140790270-3;;991270;;;5
30295-100;1060530271-0; ;;991210;;;5
30343-100;9988600291-0;1062020291-01-3;;998860;;;
20501-100;589-459/M6976-0;;;;;;5
57005-100;H125PP4001590-0;;;H125PP4001590/4.5 ;Kalacak;;
57006-100;S326PP4001010-0;;;S326PP4001010/1.1;;2;
57007-100;H218PP400101A-0;;;H218PP400101A;Kalacak;;
57009-200;S323PM0145110-0;;;S323PM0145110;Kalacak;;
57010-200;S323PM0145120-0;;;S323PM0145120;Kalacak;;
57011-200;S323PM0145021-0;;;S323PM0145021;Kalacak;;
57012-200;S323PM0145011-0;;;S323PM0145011;Kalacak;;
57014-100;S326PM4001011-0;;;S326PM4001011;Kalacak;;
57015-200;M765150150412-0;;;M765150150412;Kalacak;;
57016-200;M765150150422-0;;;M765150150422;Kalacak;;
57017-200;M222PM014510A-0;;;M222PM014510A;Kalacak;;
57018-200;M222PM014511A-0;;;M222PM014511A;Kalacak;;
57019-200;H226PM0101010-0;;;H226PM0101010;Kalacak;;
57020-200;H222VM0101022-0;;;H222VM0101022;Kalacak;;
57021-200;H125PM0101050-0;;;H125PM0101050-1.4;Kalacak;;
57022-200;H125PM0101060-0;;;H125PM0101033-1.3;Kalacak;;
57023-200;H226PM0101720-0;;;M530101050023-1.1;Kalacak;;
57024-200;TB0738-0;;;ACV022471//TB 0738-F;Kalacak;;
57025-200;M334150150200-0;;;M334150150200;Kalacak;;
57026-200;M334800040020-0;;;M334800040020;Kalacak;;
57027-200;M733150150012-0;;;M733150150012;Kalacak;;
57028-200;M737150150042-0;;;M737150150042-B;Kalacak;;
57029-200;M743150150010-0;;;M743150150010;Kalacak;;
57030-200;S326PM0101023-0;;;S326PM0101023;Kalacak;;
57031-200;H221PM0145070-0;;;H221PP0145070-1.11;Kalacak;;
57032-200;H221PM0145080-0;;;H221PP0145080-1.24;Kalacak;;
41001-200;7000689-0;;;38-38/09;;;5
41002-200;7000692-0;;;38-019/02;;;5
41006-200;7001044-0;;;4505-30;;;5
41007-200;7008872-0;;;82-065/01;;;5
41011-200;7001594-0;;;15-45/04;;;
41012-200;7044551-0;2510-01/26;2510-01/26;2510-01/26;;;
41017-200;7001947-2;;;2510-26/15;;;
41019-200;7001963-2;;;2510-26/17;;;
41021-200;7023637-0;;;10-0147/00;;;5
41022-200;7002069-0;0190156-3;;59-220/08;;;5
41023-200;7002098-0;;;2515-01/7;;;
41024-200;7060153-0;;24-120/01;24-120/01;;;5
41025-200;0471956-0;0471956-3;;59-286/01;;;5
41031-200;7002506-0;;;32/160-27/01;;;
41038-200;7003893-0;;150/200-01/06;150/200-01/06;;;
41042-200;7027934-0;;;10-200/04;;;5
41043-200;7001989-0;;;2510-26/44;;;
41046-200;7063228-0;0475884-3;;01-32/06;;;5
41049-200;7003534-0;;;10-340/07;;;5
41052-200;7003123-0;;10-270/25;10-270/25;;;5
41060-200;7006324-0;;;38-048/06;;;5
41071-200;7073360-0;;;06-130/28;;;5
41072-200;7016291-0;;;48-220/01;;;
41080-200;7021215-0;;;47-140/10;;;5
41083-200;7022816-0;;;4503-02/00;;;5
41085-200;7050309-0;;;53-280/10;;;5
41086-200;7022832-0;;;4503-04;;;5
41088-200;7023019-0;;;16-50/03;;;
41094-200;7029521-0;;;06-105/12;;;5
41101-200;7031616-0;06-100/35;;;;;
41106-200;7019269-0;;;10-285/02;;;5
41111-200;7036080-0;01-130/03;;;;;
41114-200;7036132-0;4915-03;4915-03;;;;5
41126-200;7070224-0;;;0001-160/15;;;5
41136-200;;#YOK;#YOK;#YOK;;;5
41137-200;7062371-0;;;06-160/20;;;5
41148-200;7051379-0;;2506-01/04;2506-01/04;;;
41149-200;7051382-0;;;2508-01/00;;;5
41153-200;7061110-0; ;;19-80/24;;;5
41154-200;7054693-0;;;;;;
41155-200;7054732-0;;;47-200/15;;;5
41160-200;7062368-0;01-160/02;01-160/02;;;;5
41161-200;7034118-0;;;01-110/09;;;5
41163-200;7058796-0;;;01-60/03;;;5
41171-200;7003149-0;;;10-330/10;;;5
41173-200;7001604-0;06-80/22;;06-80/22;;;5
41175-200;7050396-0;53-315/05;;;;;
41178-200;7063215-0;0477138-3;;01-024/06;;;5
41180-200;7063231-0;0477031-3;;01-042/06;;;5
41181-200;0475936-0;;001-042/07;001-042/06;;;5
41185-200;7063493-0;06-130/20;;06-130/20;;;
41186-200;7063503-0;06-150/11;;;;;
41188-200;7064065-0;;;;;;
41189-200;7043303-0;01X022-0126;;;;;
41194-200;7054826-0;;;4505-04/03;;;5
41197-200;7031739-0; ;;01-100/10;;;
41200-200;0202332-3;82-150/3;;;;;
41204-200;7040306-0;47-140/07;47-140/07;47-140/07;;;5
41217-200;7040157-0;10-420/4;;10-420/4;;;5
41221-200;7044548-0; ;;;;;
41222-200;7002111-0;;;;;;
41223-200;0190224-0;0190224-3;;82-100/12;;;5
41225-200;7057014-0;;;10-271/02;;;5
41226-200;7040128-0;;;01-150/10;;;5
41232-200;7069581-0;;;82-100/18;;;5
41233-200;7069578-0;;;82-080/18;;;5
41234-200;7069565-0;;;82-065/07;;;
41239-200;7059643-0;;;85-100/03;;;
36002-100;0103010052-0;;;0103010052;Kalacak;;
36003-100;0103010077-0;;;0103010077;Kalacak;;
36004-100;0103010056-0;;;0103010056;Kalacak;;
36005-100;0103010081-0;;;0103010081;Kalacak;;
36006-100;0103010057-0;;;0103010057;Kalacak;;
36007-100;0103010082-0;;;0103010082;Kalacak;;
36008-100;0103070537-0;;;0103070537;Kalacak;;
36010-100;0103070527-0;;;0103070527M2;Kalacak;;
36011-100;0103070531-0;;;0103070531M2;Kalacak;;
36013-100;0103070533-0;;;0103070533;Kalacak;;
36014-100;0103070534-0;;;0103070534M2;Kalacak;;
36015-100;0103010053-0;;;0103010053;Kalacak;;
36016-100;0103010054-0;;;0103010054;Kalacak;;
36017-100;0103010055-0;;;0103010055;Kalacak;;
36018-100;0103010078-0;;;0103010078;Kalacak;;
36019-100;0103010079-0;;;0103010079;Kalacak;;
36020-100;0103010080-0;;;0103010080;Kalacak;;
36021-100;0103070536-0;;;0103070536;Kalacak;;
36022-100;0103160136-0;;;0103160136;;2;
36023-100;0103160137-0;;;0103160137;Kalacak;;
36024-100;0103160139-0;;;0103160139;;2;
36025-100;0103160179-0;;;0103160179;;2;
36026-100;0103160181-0;;;0103160181;;2;
36027-100;0103160065-0;;;0103160065;;2;
36028-100;0103160066-0;;;0103160066;;2;
36029-100;0103160182-0;;;0103160182;;2;
36030-100;0103160183-0;;;0103160183;;2;
36031-100;0103160184-0;;;0103160184;;2;
36032-100;0103160185-0;;;0103160185;;2;
36033-100;0103160186-0;;;0103160186;;2;
36034-100;0103160187-0;;;0103160187;;2;
36035-100;0103160189-0;;;0103160189;;2;
36036-100;0103160239-0;;;0103160239;;2;
36037-100;0103160129-0;;;0103160129;;2;
36038-100;0103160134-0;;;0103160134;;2;
36039-100;0103160133-0;;;0103160133;;2;
36040-100;0103160132-0;;;0103160132;;2;
36041-100;0103160131-0;;;0103160131;;2;
36042-100;0103160135-0;;;0103160135;;2;
36043-100;0103031011-0;;;0103031011;Kalacak;;
36044-100;0103031012-0;;;0103031012;Kalacak;;
36045-100;0103031111-0;;;;;2;
36046-100;0103031112-0;;;;Kalacak;;
36047-100;0103031005-0;;;0103031005;Kalacak;;
36057-100;0103260132-0;;;0103260132M2;Kalacak;;
36058-100;0103010615-0;;;0103010615;Kalacak;;
00413-100;51461721-0;;;48192622/B;;2;
36061-100;0103010612-0;;;0103010612;Kalacak;;
36062-100;0103031009-0;;;0103031009;Kalacak;;
36064-100;0103010059-0;;;0103010059;Kalacak;;
36065-100;0103010085-0;;;0103010085-0;Kalacak;;
36067-100;0103010060-0;;;0103010060;Kalacak;;
36068-100;0103150484-0;;;0103150484;Kalacak;;
36069-100;0103010058-0;;;0103010058;Kalacak;;
36074-100;0103020139-0;;;0103020139;Kalacak;;
36075-100;0103010084-0;;;0103010084;Kalacak;;
36076-100;0103010614-0;;;0103010614;Kalacak;;
36077-100;0103010209-0;;;0103010209;;2;
36078-100;0103040159-0;;;0103040159;Kalacak;;
36079-100;0103010208-0;;;0103010208;Kalacak;;
36080-100;0103260135-0;;;0103260135;Kalacak;;
36081-100;0103040158-0;;;0103040158;Kalacak;;
36082-100;0103150031-0;;;0103150031;Kalacak;;
36083-100;0103150030-0;;;0103150030;Kalacak;;
36084-100;0103150078-0;;;0103150078;;2;
36085-100;103031004-0;;;103031004;Kalacak;;
36087-100;0103150458-0;;;0103150458;Kalacak;;
36089-100;0103160118-0;;;0103160118;;2;
36096-100;0103150236-0;;;0103150236;Kalacak;;
36097-100;0103150485-0;;;0103150485-5;Kalacak;;
36098-100;0103150086-0;;;0103150086;Kalacak;;
36101-100;0103100302-0;;;0103100302;Kalacak;;
36104-100;0103160093-0;;;0103160093;;2;
36105-100;0103160115-0;;;0103160115;;2;
36106-100;0103160116-0;;;0103160116;Kalacak;;
36107-100;0103160117-0;;;0103160117;;2;
36108-100;0103160119-0;;;0103160119;Kalacak;;
36109-100;0103160120-0;;;0103160120;;2;
36112-200;0101010453-0;;;101010453;;2;
36113-200;0101010454-0;;;0101010454;;2;
36114-200;0101010455-0;;;101010455;;2;
36115-200;0101010457-0;;;101010457;Kalacak;;
36116-200;0101010458-0;;;101010458;;2;
36118-200;0101010704-0;;;101010704;;2;
36119-200;0101010729-0;;;101010729;;2;
36120-200;0101030104-0;;;0101030104;Kalacak;;
36122-200;0101150179-0;;;0101150179;Kalacak;;
36126-200;0101010728-0;;;0101010728;;2;
36127-200;0101010703-0;;;0101010703;;2;
36128-200;0101010702-0;;;0101010702;;2;
36129-200;0101010727-0;;;0101010727;;2;
36130-200;0101030128-0;;;0101030128;;2;
36131-200;0101030129-0;;;0101030129;Kalacak;;
36132-200;0101010452-0;;;0101010452;;2;
36133-200;0101010456-0;;;0101010456;;2;
36134-200;0101010754-0;;;0101010754;Kalacak;;
36135-200;0101010779-0;;;0101010779;;2;
36136-200;0101010756-0;;;0101010756;Kalacak;;
36137-200;0101010781-0;;;0101010781;;2;
36138-200;0101030103-0;;;0101030103;Kalacak;;
36139-100;0103160304-0;;;0103160304;Kalacak;;
36140-100;0103160306-0;;;0103160306;Kalacak;;
36141-100;0103160307-0;;;0103160307;Kalacak;;
36142-100;0103160308-0;;;0103160308;Kalacak;;
36143-100;0103160309-0;;;0103160309;Kalacak;;
36144-100;0103160310-0;;;0103160310;Kalacak;;
36145-100;0103160311-0;;;0103160311;Kalacak;;
36146-100;0103160312-0;;;0103160312;Kalacak;;
36147-100;0103160314-0;;;0103160314;Kalacak;;
36148-100;0103160329-0;;;0103160329;Kalacak;;
36149-100;0103160331-0;;;0103160331;Kalacak;;
36150-100;0103160332-0;;;0103160332;Kalacak;;
36151-100;0103160333-0;;0103160333;0103160333;Kalacak;;
36152-100;0103160334-0;;;0103160334;Kalacak;;
36153-100;0103160335-0;;;0103160335;Kalacak;;
36154-100;0103160336-0;;;0103160336;Kalacak;;
36155-100;0103160337-0;;;0103160337;Kalacak;;
36156-100;0103160339-0;;;0103160339;Kalacak;;
36157-100;0103160364-0;;;0103160364;Kalacak;;
36158-100;0103160315-0;;;0103160315;Kalacak;;
36159-100;0103160316-0;;;0103160316;Kalacak;;
36160-100;0103160317-0;;;0103160317;Kalacak;;
36161-100;0103160318-0;;;0103160318;Kalacak;;
36162-100;0103160320-0;;;0103160320;Kalacak;;
36163-100;0103160321-0;;0103160321;0103160321;;2;
36164-100;0103160340-0;;;0103160340;Kalacak;;
36165-100;0103160341-0;;;0103160341;Kalacak;;
36166-100;0103160342-0;;;0103160342;Kalacak;;
36167-100;0103160343-0;;;0103160343;Kalacak;;
36168-100;0103160345-0;;;0103160345;Kalacak;;
36169-100;0103160346-0;;;0103160346;Kalacak;;
36170-100;0103160519-0;;;;;2;
36171-100;0103260435-0;;;0103260435;Kalacak;;
36175-100;0103040157-0;;;0103040157;Kalacak;;
36185-100;0103010136-0;;;0103010136;Kalacak;;
36186-100;0103070014-0;;;0103070014-I1;Kalacak;;
36187-200;0101070014-0;;;0101070014-G2;Kalacak;;
36188-200;0101030112-0;;;0101030112;Kalacak;;
36189-100;0103160404-0;;;0103160404;;;
36190-100;0103160408-0;;;0103160408;;2;
36191-100;0103160437-0;;;0103160437;Kalacak;;
36192-100;0103160440-0;;;0103160440;Kalacak;;
36193-100;0103160446-0;;;0103160446;;2;
36194-100;0103160432-0;;;0103160432;;2;
36195-100;0103160434-0;;;0103160434;Kalacak;;
36196-100;0103160406-0;;;0103160406;Kalacak;;
36197-100;0103160407-0;;;0103160407;Kalacak;;
36198-100;0103160409-0;;;0103160409;;2;
36199-100;0103160410-0;;;0103160410;Kalacak;;
36200-100;0103160411-0;;;0103160411;Kalacak;;
36201-100;0103160412-0;;;0103160412;Kalacak;;
36202-100;0103160414-0;;;0103160414;;;
36203-100;0103160415-0;;;0103160415;Kalacak;;
36204-100;0103160416-0;;;0103160416;;2;
36205-100;0103160417-0;;;0103160417;;;
36206-100;0103160418-0;;;0103160418;;2;
36207-100;0103160420-0;;;0103160420;;;
36208-100;0103160421-0;;;0103160421;;2;
36209-100;0103160429-0;;;0103160429;;2;
36210-100;0103160431-0;;;0103160431;;2;
36211-100;0103160433-0;;;0103160433;;;
36212-100;0103160435-0;;;0103160435;Kalacak;;
36213-100;0103160436-0;;;0103160436;Kalacak;;
36214-100;0103160439-0;;;0103160439;Kalacak;;
36215-100;0103160464-0;;;0103160464;;;
36216-100;0103160441-0;;;0103160441;Kalacak;;
36217-100;0103160442-0;;;0103160442;;;
36218-100;0103160443-0;;;0103160443;;;
36219-100;0103160445-0;;;0103160445;;;
36220-100;0103010662-0;;;0103010662;Kalacak;;
36221-100;0103070535-0;;;0103070535;Kalacak;;
00674-100;L215099B-0;;;L215098;Kalacak;;
00675-100;L215871B-0;;;L215870;Kalacak;;
00696-200;R176474-0;;;R176474-B;Kalacak;;
00698-200;R176475-0;;;R176475/A;Kalacak;;
00711-200;L220003LX2-0;;;L220003_A;Kalacak;;
00718-100;L215455LX2-0;;;L224332;Kalacak;;
00724-100;L233998LX2-0;;;L233998;Kalacak;;
00740-100;R131177-0;;;R131177_D;;2;
00746-200;R310110-0;;;R310110-D;Kalacak;;
00748-200;R207782-0;;;R207782-J;Kalacak;;
00749-200;R167153-0;;;R167153-G;Kalacak;;
00770-200;R255179-0;;;R255179;Kalacak;;
00776-100;R253935-0;;;R253935;Kalacak;;
80000-100;401018870-0;;;;;;
80001-100;401018868-0;;;;;;
80002-100;401018989-0;;;;;;
80003-100;401019098-1;;;;;;
80004-100;401019122-0;;;;;;
80005-100;401018869-0;;;;;2;
80006-100;401019528;;;;;;
80007-100;401019526-0;;;;;;
80008-100;401019648-0;;;;;;
80009-100;401019527-0;;;;;2;
80010-100;401019098-0;;;;;2;
80011-100;401021290-0;;;;;;
80014-200;401021290-0;;;;Kalacak;;
80050-100;80050-100;;;;;;
00654-100;KV20410-0;;;KV20410-F;Kalacak;;
00655-100;KV20425-0;;;KV20425-E;Kalacak;;
00658-200;CECR311562-0;;;CECR311562/D;;;5
36050-200;0101150331-0;;;0101150331M1;Kalacak;;
36051-200;0101150329-0;;;0101150329M1;Kalacak;;
36053-100;0103150502-0;;;0103150502M1;Kalacak;;
36091-100;0103020109-0;;;0103020109;Kalacak;;
36093-100;0103010932-0;;;0103010932;Kalacak;;
36102-100;0103010982-0;;;0103010982;;2;
36103-100;0103010984-0;;;0103010984;;2;
36172-100;0103020103-0;;;0103020103;Kalacak;;
36173-100;0103020104-0;;;0103020104;Kalacak;;
36174-100;0103020202-0;;;0103020202;Kalacak;;
36176-100;0103020127-0;;;0103020127;Kalacak;;
36177-100;0103020128-0;;;0103020128;Kalacak;;
36178-100;0103020129-0;;;0103020129;Kalacak;;
36179-100;0103020105-0;;;0103020105;Kalacak;;
36180-100;0103020130-0;;;0103020130;Kalacak;;
36181-100;0103020106-0;;;0103020106;Kalacak;;
36182-100;0103020131-0;;;0103020131;Kalacak;;
36183-100;0103020107-0;;;0103020107;Kalacak;;
36184-100;0103020132-0;;;0103020132;Kalacak;;
36222-100;0103150352-0 (geçici);;0103150352M2;0103150352M2;;;
36223-100;0103020133-0;;;0103020133;Kalacak;;
36224-100;0103020134-0;;;0103020134;Kalacak;;
55000-100;L225682-0 iptal;;;L225682 C/L225680;Kalacak;;
55001-100;L225681-0 iptal;;;L225681_C/L225683;Kalacak;;
55002-100;L226162-0;;;L226162;Kalacak;;
55003-100;L226163-0;;;L226163;Kalacak;;
33060-100;4340P4ES10-0;;;ES/040-003;;;5
33061-100;25800PES01_U-0;;;ES/080-001;;;5
33062-100;25010PES01_IS16-3;25010PES01_U-3;;ES/100-004;;;
33063-100;25600PES01_U-0;25600PES01_U-3;;ES/060-002;;;5
33064-100;25600PES27_U-0;25600PES27_U-3;;ES/060-008;;2;
33065-100;25600PES20_U-0;25600PES20_U-3;;ES/060-009;;2;
34000-200;8110050001_U-0;;;S28/010-249;;;5
34001-200;8110050009-0;8110050009-U-3;;S28/010-295;;;5
34051-200;8120000002-0;8120000002-BSP-3;;8120000002;;;
